data;

param num_jobs := 60;

param num_mach := 10;

param T := 
8 41 44
9 41 23
10 41 16
1 42 57
2 42 7
3 42 42
4 42 72
5 42 60
6 42 98
7 42 59
8 42 94
9 42 78
10 42 96
1 43 88
2 43 83
3 43 20
4 43 56
5 43 77
6 43 80
7 43 13
8 43 82
9 43 16
10 43 69
1 44 18
2 44 66
3 44 13
4 44 1
5 44 77
6 44 49
7 44 51
8 44 3
9 44 88
10 44 52
1 45 52
2 45 54
3 45 82
4 45 3
5 45 16
6 45 27
7 45 52
8 45 28
9 45 18
10 45 19
1 46 56
2 46 4
3 46 81
4 46 52
5 46 94
6 46 93
7 46 52
8 46 86
9 46 31
10 46 81
1 47 39
2 47 83
3 47 7
4 47 19
5 47 14
6 47 30
7 47 79
8 47 24
9 47 68
10 47 79
1 48 71
2 48 98
3 48 77
4 48 4
5 48 11
6 48 59
7 48 17
8 48 39
9 48 13
10 48 96
1 49 36
2 49 74
3 49 20
4 49 7
5 49 81
6 49 25
7 49 4
8 49 64
9 49 19
10 49 78
1 50 1
2 50 21
3 50 4
4 50 15
5 50 25
6 50 52
7 50 4
8 50 23
9 50 1
10 50 5
1 51 60
2 51 85
3 51 80
4 51 85
5 51 48
6 51 98
7 51 52
8 51 15
9 51 73
10 51 28
1 52 71
2 52 36
3 52 16
4 52 46
5 52 40
6 52 42
7 52 11
8 52 90
9 52 29
10 52 69
1 53 16
2 53 34
3 53 36
4 53 72
5 53 12
6 53 59
7 53 95
8 53 71
9 53 45
10 53 81
1 54 92
2 54 36
3 54 98
4 54 63
5 54 67
6 54 60
7 54 40
8 54 6
9 54 81
10 54 27
1 55 12
2 55 19
3 55 96
4 55 75
5 55 32
6 55 4
7 55 98
8 55 15
9 55 41
10 55 95
1 56 42
2 56 53
3 56 7
4 56 59
5 56 21
6 56 31
7 56 66
8 56 22
9 56 80
10 56 77
1 57 77
2 57 91
3 57 21
4 57 36
5 57 4
6 57 14
7 57 74
8 57 16
9 57 56
10 57 27
1 58 36
2 58 74
3 58 61
4 58 47
5 58 95
6 58 37
7 58 38
8 58 99
9 58 94
10 58 4
1 59 94
2 59 46
3 59 4
4 59 7
5 59 83
6 59 97
7 59 99
8 59 8
9 59 72
10 59 16
1 60 82
2 60 65
3 60 18
4 60 23
5 60 66
6 60 91
7 60 52
8 60 95
9 60 31
10 60 91;


end;
