data;

param num_jobs := 100;

param num_mach := 60;

param T := 
45 25 44
46 25 78
47 25 9
48 25 11
49 25 17
50 25 52
51 25 16
52 25 27
53 25 74
54 25 24
55 25 97
56 25 94
57 25 41
58 25 70
59 25 94
60 25 75
1 26 83
2 26 62
3 26 33
4 26 73
5 26 71
6 26 76
7 26 69
8 26 12
9 26 76
10 26 56
11 26 63
12 26 28
13 26 88
14 26 13
15 26 32
16 26 10
17 26 90
18 26 76
19 26 83
20 26 80
21 26 27
22 26 42
23 26 26
24 26 11
25 26 50
26 26 84
27 26 1
28 26 11
29 26 31
30 26 26
31 26 90
32 26 32
33 26 74
34 26 77
35 26 98
36 26 94
37 26 67
38 26 97
39 26 2
40 26 95
41 26 48
42 26 29
43 26 15
44 26 82
45 26 94
46 26 14
47 26 31
48 26 95
49 26 41
50 26 2
51 26 21
52 26 3
53 26 92
54 26 86
55 26 2
56 26 92
57 26 90
58 26 49
59 26 11
60 26 94
1 27 43
2 27 92
3 27 52
4 27 41
5 27 35
6 27 87
7 27 91
8 27 83
9 27 69
10 27 71
11 27 15
12 27 48
13 27 9
14 27 64
15 27 88
16 27 73
17 27 29
18 27 1
19 27 84
20 27 64
21 27 86
22 27 91
23 27 44
24 27 79
25 27 68
26 27 51
27 27 10
28 27 3
29 27 89
30 27 72
31 27 38
32 27 90
33 27 31
34 27 25
35 27 81
36 27 90
37 27 50
38 27 5
39 27 98
40 27 61
41 27 15
42 27 76
43 27 27
44 27 55
45 27 21
46 27 65
47 27 32
48 27 34
49 27 2
50 27 12
51 27 17
52 27 35
53 27 54
54 27 77
55 27 53
56 27 98
57 27 26
58 27 72
59 27 71
60 27 32
1 28 31
2 28 54
3 28 21
4 28 74
5 28 11
6 28 94
7 28 77
8 28 79
9 28 42
10 28 32
11 28 81
12 28 30
13 28 56
14 28 56
15 28 10
16 28 58
17 28 36
18 28 80
19 28 23
20 28 33
21 28 86
22 28 5
23 28 56
24 28 34
25 28 14
26 28 87
27 28 24
28 28 29
29 28 47
30 28 57
31 28 59
32 28 26
33 28 84
34 28 40
35 28 23
36 28 54
37 28 63
38 28 94
39 28 46
40 28 11
41 28 73
42 28 71
43 28 81
44 28 75
45 28 60
46 28 30
47 28 85
48 28 59
49 28 95
50 28 1
51 28 62
52 28 69
53 28 23
54 28 57
55 28 33
56 28 93
57 28 71
58 28 45
59 28 10
60 28 23
1 29 30
2 29 82
3 29 94
4 29 88
5 29 11
6 29 20
7 29 35
8 29 71
9 29 36
10 29 40
11 29 91
12 29 99
13 29 47
14 29 18
15 29 14
16 29 66
17 29 5
18 29 85
19 29 29
20 29 16
21 29 30
22 29 65
23 29 80
24 29 77
25 29 11
26 29 69
27 29 77
28 29 56
29 29 74
30 29 68
31 29 40
32 29 15
33 29 87
34 29 96
35 29 55
36 29 84
37 29 61
38 29 31
39 29 75
40 29 1
41 29 36
42 29 63
43 29 21
44 29 65
45 29 3
46 29 62
47 29 71
48 29 54
49 29 85
50 29 78
51 29 65
52 29 46
53 29 59
54 29 58
55 29 32
56 29 21
57 29 19
58 29 58
59 29 21
60 29 71
1 30 7
2 30 71
3 30 20
4 30 23
5 30 46
6 30 16
7 30 65
8 30 32
9 30 73
10 30 54
11 30 87
12 30 49
13 30 37
14 30 20
15 30 41
16 30 36
17 30 21
18 30 91
19 30 23
20 30 73
21 30 10
22 30 38
23 30 72
24 30 22
25 30 89
26 30 9
27 30 99
28 30 99
29 30 76
30 30 65
31 30 98
32 30 97
33 30 92
34 30 62
35 30 33
36 30 47
37 30 45
38 30 30
39 30 5
40 30 10
41 30 74
42 30 16
43 30 41
44 30 57
45 30 77
46 30 82
47 30 63
48 30 48
49 30 20
50 30 86
51 30 16
52 30 40
53 30 99
54 30 61
55 30 79
56 30 76
57 30 19
58 30 89
59 30 92
60 30 45
1 31 77
2 31 48
3 31 46
4 31 98
5 31 96
6 31 47
7 31 39
8 31 71
9 31 39
10 31 96
11 31 3
12 31 54
13 31 82
14 31 87
15 31 35
16 31 96
17 31 57
18 31 47
19 31 97
20 31 46
21 31 57
22 31 26
23 31 70
24 31 53
25 31 91
26 31 19
27 31 65
28 31 99
29 31 35
30 31 22
31 31 45
32 31 22
33 31 81
34 31 88
35 31 99
36 31 47
37 31 20
38 31 24
39 31 71
40 31 61
41 31 94
42 31 45
43 31 39
44 31 58
45 31 4
46 31 86
47 31 90
48 31 74
49 31 43
50 31 29
51 31 58
52 31 82
53 31 30
54 31 79
55 31 87
56 31 97
57 31 36
58 31 48
59 31 64
60 31 38
1 32 13
2 32 70
3 32 20
4 32 25
5 32 10
6 32 85
7 32 98
8 32 26
9 32 5
10 32 87
11 32 45
12 32 66
13 32 96
14 32 73
15 32 48
16 32 74
17 32 32
18 32 76
19 32 59
20 32 28
21 32 64
22 32 62
23 32 59
24 32 16
25 32 75
26 32 17
27 32 43
28 32 37
29 32 97
30 32 59
31 32 58
32 32 98
33 32 16
34 32 44
35 32 6
36 32 86
37 32 50
38 32 60
39 32 82
40 32 22
41 32 32
42 32 30
43 32 47
44 32 18
45 32 40
46 32 52
47 32 14
48 32 10
49 32 51
50 32 63
51 32 19
52 32 29
53 32 14
54 32 4
55 32 16
56 32 14
57 32 67
58 32 1
59 32 87
60 32 20
1 33 54
2 33 31
3 33 82
4 33 43
5 33 98
6 33 98
7 33 17
8 33 68
9 33 52
10 33 53
11 33 94
12 33 32
13 33 20
14 33 35
15 33 44
16 33 31
17 33 36
18 33 20
19 33 72
20 33 34
21 33 36
22 33 3
23 33 70
24 33 80
25 33 50
26 33 28
27 33 45
28 33 52
29 33 20
30 33 88
31 33 50
32 33 77
33 33 97
34 33 13
35 33 25
36 33 93
37 33 4
38 33 36
39 33 94
40 33 65
41 33 31
42 33 25
43 33 76
44 33 60
45 33 29
46 33 84
47 33 77
48 33 2
49 33 8
50 33 87
51 33 11
52 33 71
53 33 48
54 33 90
55 33 45
56 33 21
57 33 95
58 33 34
59 33 68
60 33 15
1 34 87
2 34 34
3 34 36
4 34 24
5 34 36
6 34 26
7 34 22
8 34 28
9 34 63
10 34 3
11 34 9
12 34 7
13 34 66
14 34 58
15 34 73
16 34 19
17 34 55
18 34 54
19 34 65
20 34 13
21 34 95
22 34 35
23 34 67
24 34 4
25 34 38
26 34 72
27 34 98
28 34 19
29 34 35
30 34 36
31 34 5
32 34 90
33 34 60
34 34 86
35 34 28
36 34 55
37 34 88
38 34 61
39 34 65
40 34 84
41 34 96
42 34 87
43 34 52
44 34 52
45 34 1
46 34 54
47 34 33
48 34 28
49 34 37
50 34 17
51 34 4
52 34 25
53 34 50
54 34 13
55 34 35
56 34 72
57 34 46
58 34 37
59 34 16
60 34 76
1 35 18
2 35 71
3 35 77
4 35 79
5 35 72
6 35 90
7 35 83
8 35 50
9 35 90
10 35 77
11 35 94
12 35 56
13 35 15
14 35 30
15 35 46
16 35 97
17 35 39
18 35 35
19 35 3
20 35 15
21 35 49
22 35 37
23 35 63
24 35 84
25 35 40
26 35 42
27 35 54
28 35 75
29 35 2
30 35 18
31 35 4
32 35 30
33 35 59
34 35 98
35 35 9
36 35 88
37 35 91
38 35 84
39 35 38
40 35 72
41 35 91
42 35 8
43 35 5
44 35 94
45 35 17
46 35 11
47 35 41
48 35 67
49 35 55
50 35 43
51 35 31
52 35 15
53 35 7
54 35 78
55 35 93
56 35 21
57 35 45
58 35 13
59 35 18
60 35 69
1 36 25
2 36 96
3 36 99
4 36 48
5 36 36
6 36 94
7 36 26
8 36 32
9 36 29
10 36 4
11 36 3
12 36 66
13 36 52
14 36 52
15 36 38
16 36 13
17 36 90
18 36 58
19 36 8
20 36 23
21 36 82
22 36 41
23 36 70
24 36 71
25 36 64
26 36 98
27 36 18
28 36 45
29 36 59
30 36 89
31 36 73
32 36 67
33 36 21
34 36 95
35 36 67
36 36 30
37 36 91
38 36 56
39 36 54
40 36 31
41 36 32
42 36 78
43 36 65
44 36 60
45 36 51
46 36 82
47 36 92
48 36 75
49 36 12
50 36 43
51 36 50
52 36 56
53 36 21
54 36 13
55 36 73
56 36 37
57 36 14
58 36 50
59 36 39
60 36 51
1 37 93
2 37 1
3 37 17
4 37 42
5 37 87
6 37 87
7 37 94
8 37 10
9 37 31
10 37 3
11 37 23
12 37 17
13 37 89
14 37 33
15 37 91
16 37 64
17 37 78
18 37 42
19 37 15
20 37 10
21 37 48
22 37 85
23 37 94
24 37 91
25 37 33
26 37 60
27 37 93
28 37 68
29 37 88
30 37 80
31 37 33
32 37 17
33 37 69
34 37 51
35 37 96
36 37 24
37 37 11
38 37 86
39 37 96
40 37 55
41 37 26
42 37 73
43 37 62
44 37 26
45 37 28
46 37 90
47 37 22
48 37 72
49 37 40
50 37 42
51 37 5
52 37 99
53 37 54
54 37 48
55 37 94
56 37 86
57 37 46
58 37 8
59 37 87
60 37 33
1 38 59
2 38 33
3 38 56
4 38 2
5 38 24
6 38 12
7 38 12
8 38 97
9 38 64
10 38 55
11 38 18
12 38 64
13 38 9
14 38 25
15 38 4
16 38 6
17 38 12
18 38 64
19 38 73
20 38 60
21 38 53
22 38 65
23 38 13
24 38 86
25 38 74
26 38 39
27 38 31
28 38 34
29 38 51
30 38 99
31 38 13
32 38 6
33 38 35
34 38 47
35 38 39
36 38 48
37 38 8
38 38 26
39 38 16
40 38 12
41 38 13
42 38 97
43 38 26
44 38 70
45 38 78
46 38 38
47 38 80
48 38 9
49 38 46
50 38 68
51 38 42
52 38 87
53 38 53
54 38 64
55 38 40
56 38 68
57 38 42
58 38 13
59 38 13
60 38 55
1 39 5
2 39 99
3 39 28
4 39 69
5 39 67
6 39 57
7 39 89
8 39 82
9 39 87
10 39 8
11 39 10
12 39 66
13 39 8
14 39 67
15 39 17
16 39 38
17 39 97
18 39 12
19 39 27
20 39 95
21 39 75
22 39 7
23 39 97
24 39 95
25 39 85
26 39 63
27 39 43
28 39 3
29 39 79
30 39 68
31 39 71
32 39 8
33 39 25
34 39 92
35 39 93
36 39 13
37 39 43
38 39 91
39 39 90
40 39 12
41 39 41
42 39 39
43 39 49
